user_id,K,avg_throughput
132,K0,0.0
133,K0,0.0
134,K0,0.0
135,K0,0.0
136,K0,0.0
137,K0,0.0
138,K0,119.2626470595214
139,K0,119.27297320291166
140,K0,0.0
141,K0,0.0
142,K0,0.0
143,K0,0.0
144,K0,119.26691629937676
145,K0,119.2622644752451
146,K0,0.0
147,K0,0.0
148,K0,0.0
149,K0,0.0
150,K0,0.0
151,K0,0.0
152,K0,118.8900495595794
153,K0,0.0
154,K0,0.0
155,K0,0.0
156,K0,118.89803867180032
157,K0,0.0
158,K0,0.0
159,K0,0.0
160,K0,0.0
161,K0,0.0
162,K0,0.0
163,K0,0.0
164,K0,0.0
165,K0,0.0
166,K0,0.0
167,K0,0.0
168,K0,119.2680483125311
169,K0,0.0
170,K0,0.0
171,K0,0.0
172,K0,0.0
173,K0,0.0
174,K0,0.0
175,K0,118.8963863355629
176,K0,118.9366495240721
177,K0,0.0
178,K0,0.0
179,K0,0.0
180,K0,0.0
181,K0,0.0
182,K0,0.0
183,K0,0.0
184,K0,117.69348394205046
185,K0,0.0
186,K0,0.0
187,K0,0.0
188,K0,0.0
189,K0,0.0
190,K0,0.0
191,K0,0.0
192,K0,0.0
193,K0,0.0
194,K0,0.0
195,K0,0.0
196,K0,0.0
197,K0,118.2710558320824
198,K0,0.0
199,K0,0.0
200,K0,0.0
201,K0,0.0
202,K0,0.0
203,K0,0.0
204,K0,0.0
205,K0,0.0
206,K0,0.0
207,K0,0.0
208,K0,0.0
209,K0,0.0
210,K0,0.0
211,K0,117.69447686439808
212,K0,0.0
213,K0,0.0
214,K0,0.0
215,K0,0.0
216,K0,0.0
217,K0,0.0
218,K0,0.0
219,K0,0.0
220,K0,0.0
221,K0,0.0
222,K0,0.0
223,K0,118.01246219917199
224,K0,118.0100387317379
225,K0,0.0
226,K0,0.0
227,K0,0.0
228,K0,0.0
229,K0,0.0
230,K0,0.0
231,K0,0.0
232,K0,0.0
233,K0,0.0
234,K0,0.0
235,K0,118.00415639640384
236,K0,117.69899124473078
237,K0,117.69843797936971
238,K0,0.0
239,K0,0.0
240,K0,0.0
241,K0,0.0
242,K0,0.0
243,K0,0.0
244,K0,0.0
245,K0,0.0
246,K0,120.23956852104024
247,K0,0.0
248,K0,0.0
249,K0,0.0
250,K0,0.0
251,K0,0.0
252,K0,120.25260757536964
253,K0,0.0
254,K0,0.0
255,K0,0.0
256,K0,120.25833558046881
257,K0,0.0
258,K0,0.0
259,K0,0.0
260,K0,0.0
261,K0,0.0
262,K0,0.0
263,K0,0.0
264,K0,0.0
265,K0,0.0
266,K0,0.0
267,K0,0.0
268,K0,0.0
269,K0,0.0
270,K0,120.64560160830976
271,K0,0.0
272,K0,0.0
273,K0,0.0
274,K0,0.0
275,K0,119.75009331058375
276,K0,0.0
277,K0,119.74603806901202
278,K0,0.0
279,K0,0.0
280,K0,0.0
281,K0,0.0
