user_id,K,avg_throughput
196,K0,107.49374928834375
197,K0,109.60636313877703
198,K0,108.42394045328122
199,K0,108.26192795776969
200,K0,108.5961417122971
201,K0,107.21791900687043
202,K0,108.8154523961655
203,K0,109.01788023851842
204,K0,108.88334226148243
205,K0,108.0909577852295
206,K0,107.91138474423629
207,K0,108.5447224537347
208,K0,108.5644700551236
209,K0,109.81462712476883
210,K0,108.9996133981414
211,K0,107.75389738564766
212,K0,107.95879734910368
213,K0,109.24452560664182
214,K0,107.7058552663935
215,K0,108.4362191267391
216,K0,109.05564876161448
217,K0,108.02749733849487
218,K0,106.82664255249092
219,K0,109.63430971409277
220,K0,106.82687812576074
221,K0,108.92787297954642
222,K0,107.30931796543744
223,K0,109.59250644216819
224,K0,109.59251527448994
225,K0,106.82603559389364
226,K0,107.25594784586995
227,K0,108.09952107356797
228,K0,108.5197230007501
229,K0,108.15804760897927
230,K0,109.11247307491786
231,K0,108.43009139078502
232,K0,107.6316001326651
233,K0,109.1246108769481
234,K0,108.00945867174157
235,K0,109.59278270547368
236,K0,107.10207159681546
237,K0,106.6420769963868
238,K0,108.13733166462616
239,K0,107.98948568203748
240,K0,108.97862461070069
241,K0,108.97980476921428
242,K0,108.91301410535702
243,K0,108.38827818620959
244,K0,108.61325701258204
245,K0,108.72644528398868
246,K0,108.63212121955378
247,K0,109.20855814380855
248,K0,109.62623755207696
249,K0,108.38601033719927
250,K0,108.34329147325185
251,K0,109.34617358473113
252,K0,108.76001449162311
253,K0,109.45554506802198
254,K0,108.8771129672766
255,K0,108.19757067907148
256,K0,109.70885561098413
257,K0,108.8149101733858
258,K0,109.2593840577549
259,K0,110.15693576261364
260,K0,109.04002876175649
261,K0,108.704896627052
262,K0,109.33249028436354
263,K0,109.86131251101129
264,K0,109.17138571252902
265,K0,108.30490687578082
266,K0,109.18774867819808
267,K0,108.48139668211395
268,K0,109.76822610684061
269,K0,108.72271247690854
270,K0,108.09661245235544
271,K0,108.6134149834213
272,K0,108.40740059113374
273,K0,109.49454535498725
274,K0,110.21715510783909
275,K0,108.20715627598668
276,K0,109.33957500789587
277,K0,108.20587837324165
278,K0,109.3320828496625
279,K0,108.2373590574611
280,K0,109.42296179102091
281,K0,108.9173658276893
282,K0,108.15603110929554
283,K0,110.75300352338414
284,K0,109.97525947725596
285,K0,109.72031365027144
286,K0,108.71186732843124
287,K0,109.00833752592156
288,K0,109.279763934769
289,K0,110.22620941749541
290,K0,109.08534047819067
291,K0,109.04684819194166
292,K0,108.2061605529425
293,K0,108.19941096817284
294,K0,108.54438756712212
295,K0,108.970395565289
296,K0,109.6996020824217
297,K0,109.27906117714376
298,K0,108.68592820994127
299,K0,108.87095439175451
300,K0,108.72815648807416
301,K0,108.76640012548066
302,K0,107.53949410430931
303,K0,109.4439774829221
304,K0,109.86152597924472
305,K0,109.51388546863717
306,K0,109.60920370819203
307,K0,110.10093154419074
308,K0,109.0599390359949
309,K0,110.32519588065387
310,K0,109.44850609769495
311,K0,110.09438000386727
312,K0,109.57741805169336
313,K0,108.79341614344195
314,K0,108.83987472851092
315,K0,109.08049356191059
316,K0,108.5586809891011
317,K0,109.06423093798543
318,K0,109.77458433570328
319,K0,109.44194320272348
320,K0,108.4218228044587
321,K0,108.9386224922263
322,K0,108.62827822927966
323,K0,109.17376989742314
324,K0,109.4986482859052
325,K0,108.88187710234357
326,K0,110.00392181988845
327,K0,109.28749172294462
328,K0,108.98402789106467
329,K0,108.76014766890432
330,K0,108.18513552921029
331,K0,109.47750623835748
332,K0,107.73194878645067
333,K0,108.64224113678037
334,K0,108.87881775041295
335,K0,109.17304293159906
336,K0,109.30350206026961
